Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2022-05-06,1434.364013671875,1452.0280229346133,1427.112541119313,1441.0112819602332,6171472
2022-05-09,1459.930419921875,1475.2238021039275,1415.1196605060875,1431.7145105445634,6832202
2022-05-10,1443.800537109375,1458.814969770903,1437.3392729530085,1448.448961246881,6212545
2022-05-11,1419.396240234375,1440.9648817716147,1405.3114930964814,1440.9648817716147,7846080
2022-05-12,1402.70849609375,1420.093556762127,1398.524914420801,1407.5428117432803,7034979
2022-05-13,1398.6175537109375,1421.7201936336648,1392.7604952575628,1412.4698771342544,6723761
2022-05-16,1384.3935546875,1405.5438829968855,1374.6783943313592,1403.823988886691,6145331
2022-05-17,1411.6798095703125,1417.769290277416,1376.7702141543173,1389.785801081454,6516378
2022-05-18,1403.080322265625,1440.7325584770256,1399.4546421607295,1414.9803336728849,6594126
2022-05-19,1326.799560546875,1380.3028476754446,1317.9675557754283,1376.8630596329056,16561140
2022-05-20,1352.830810546875,1363.6151311399126,1344.9749061785183,1350.8319656016997,10488908
2022-05-23,1365.1490478515625,1383.3708454300072,1348.0893561580556,1352.7841958410627,5887569
2022-05-24,1339.67578125,1366.2183273766786,1334.330093712049,1365.3350587347827,5693167
2022-05-25,1311.2738037109375,1341.0702451947768,1300.8613799575678,1334.0976096045092,9630092
2022-05-26,1323.8245849609375,1329.4492232231844,1308.113003112374,1318.2930059653675,13040065
2022-05-27,1358.5948486328125,1363.8475904070867,1336.3289432503113,1342.4183105481884,8284860
2022-05-30,1419.44287109375,1422.4178172121055,1380.5819990588082,1382.4413687545104,10904213
2022-05-31,1412.677978515625,1426.2072400945938,1398.162278765667,1419.3486218523567,16033857
2022-06-01,1389.1427001953125,1423.1536543444083,1383.082660383193,1421.5094761664234,8738508
2022-06-02,1416.81201171875,1422.30824227473,1386.3712002002987,1394.2632794367541,7205840
2022-06-03,1429.6834716796875,1460.9698822358769,1426.207254812901,1432.6900379998062,9395707
2022-06-06,1437.5286865234375,1443.682542481414,1402.7190356441631,1424.3282371309788,6624883
2022-06-07,1415.5906982421875,1427.9455484747944,1411.7386457496132,1427.9455484747944,4904592
2022-06-08,1409.295654296875,1428.2741232325634,1401.7794108072917,1428.2741232325634,4697608
2022-06-09,1423.388671875,1425.2207104286344,1391.9144009127476,1395.2027575804457,4361061
2022-06-10,1387.498779296875,1403.61163667787,1384.492212686372,1396.2363447067994,6516436
2022-06-13,1338.361083984375,1356.306092077931,1326.3350487266268,1356.306092077931,6987685
2022-06-14,1353.440673828125,1361.2857303693213,1318.3022110684763,1324.7379718948907,6090247
2022-06-15,1336.2001953125,1358.9369016146927,1333.0527911598467,1353.1117438579818,4651958
2022-06-16,1312.7120361328125,1356.4472290291462,1307.8265231574521,1351.0449283767357,6641772
2022-06-17,1303.41064453125,1312.4770216600878,1284.4790829479869,1306.9338837332677,9692047
2022-06-20,1328.6370849609375,1336.341189217016,1298.4311563243193,1305.9944227558458,4595194
2022-06-21,1362.2252197265625,1367.9563325225902,1336.716945121233,1337.8913581814343,6270787
2022-06-22,1350.34033203125,1371.3388176486478,1348.2263882169725,1349.2129412058189,6253366
2022-06-23,1364.6209716796875,1369.835411611745,1346.3471500957687,1352.736003103625,6254281
2022-06-24,1353.9573974609375,1378.761025907351,1342.495171093814,1369.8354860462814,6114340
2022-06-27,1385.4317626953125,1394.2633730364012,1376.5532446387574,1379.2779062435006,4511097
2022-06-28,1390.6461181640625,1398.2562924166805,1365.1378416807906,1380.1703299580738,4412178
2022-06-29,1374.7679443359375,1387.6864881491063,1368.8958789663154,1376.130217626179,5060038
2022-06-30,1373.4996337890625,1392.3841735287206,1367.0168505292095,1376.459177743428,9165177
2022-07-01,1389.94140625,1395.2027539669343,1355.1317563108692,1366.0773092713284,4651635
2022-07-04,1398.021240234375,1402.014244448754,1373.5934497464086,1390.7398796081543,4800224
2022-07-05,1386.699951171875,1418.64398714844,1382.9888516912852,1408.1683141600888,7379669
2022-07-06,1401.4505615234375,1409.2956175232293,1381.1097051727647,1392.5719303197786,5209162
2022-07-07,1408.07421875,1422.4020579009568,1405.255627441615,1412.1612678981774,3323472
2022-07-08,1422.871826171875,1425.2206522672354,1409.2486348187851,1423.388613788364,3652582
2022-07-11,1384.0694580078125,1409.2019003172338,1377.7276267708557,1404.5981776667224,4702638
2022-07-12,1351.6085205078125,1379.7944348018254,1349.165764206754,1373.4056963751166,4710356
2022-07-13,1357.1048583984375,1371.7146043407324,1351.608627613323,1362.3192988315493,5264025
2022-07-14,1342.4481201171875,1365.0907820292225,1328.4961152533087,1363.2587434459344,6157606
2022-07-15,1343.8575439453125,1358.5612204795473,1325.3488373703126,1358.5612204795473,5620018
2022-07-18,1399.806640625,1403.2828579117377,1360.4873086059083,1362.319347369958,5835171
2022-07-19,1394.404052734375,1396.9407389145567,1381.2036048653747,1382.56599274558,3418540
2022-07-20,1423.6705322265625,1433.5356019201454,1409.2956705118318,1410.4700835705914,5079392
2022-07-21,1440.206298828125,1442.6020327440115,1412.20824458838,1425.2677412262312,5008061
2022-07-22,1415.2147216796875,1446.8768510512084,1401.9203432598717,1441.2396685146452,7020642
2022-07-25,1412.677978515625,1425.4086621403333,1390.5990126775334,1390.5990126775334,7859626
2022-07-26,1363.399658203125,1406.1482943913718,1357.6215229014635,1406.1482943913718,7268273
2022-07-27,1382.09619140625,1383.9282297452742,1357.6213794853504,1363.2585616839056,4517285
2022-07-28,1425.6436767578125,1432.2672983092634,1399.7595642797257,1405.9135352458704,6636841
2022-07-29,1455.9903564453125,1461.6275393929313,1435.60259066027,1440.1123828938773,7009465
2022-08-01,1457.2587890625,1469.4256628377227,1444.9039403790177,1469.4256628377227,2983249
2022-08-02,1450.25927734375,1453.45370402662,1435.931437016403,1453.0309611711625,4374635
2022-08-03,1471.398681640625,1475.0628734998138,1446.7830286080512,1455.332733153638,6011955
2022-08-04,1503.15478515625,1506.8658845465459,1479.7134316893494,1491.504584675205,7402209
2022-08-05,1518.89208984375,1527.3947725261623,1505.4098493601728,1511.1409627896726,5361971
2022-08-08,1521.475830078125,1523.91858662571,1499.4907917722771,1519.2209337692807,3763409
2022-08-10,1505.5506591796875,1523.166856702097,1492.0684189469607,1523.166856702097,4423829
2022-08-11,1521.992431640625,1532.7031025883107,1518.2813319337515,1531.4347593143657,3462090
2022-08-12,1497.7054443359375,1516.4021229406808,1493.9943449911152,1515.7444975113215,3562286
2022-08-16,1499.913330078125,1511.704483015064,1494.8868651450716,1511.704483015064,3004430
2022-08-17,1509.120849609375,1514.5231499270428,1489.155826696255,1499.9134049315767,4067324
2022-08-18,1487.229736328125,1501.5575762337478,1478.8209843573864,1497.7055241804837,4635706
2022-08-19,1500.524169921875,1507.8525538503002,1489.2498036866264,1489.4377786038176,4739884
2022-08-22,1480.3712158203125,1502.3092294730482,1478.8209675988603,1490.0953332984705,3950555
2022-08-23,1449.1318359375,1460.5001318128257,1440.3002264837965,1454.3931836900958,5551574
2022-08-24,1444.528076171875,1452.5140850482724,1438.4211282075712,1442.179250031758,2888426
2022-08-25,1426.3482666015625,1455.0508548669275,1422.2143094200746,1454.3932293854832,4331088
2022-08-26,1429.5426025390625,1451.5275233252094,1425.6904359417863,1442.320193725473,3079136
2022-08-29,1373.3587646484375,1379.7476181857337,1362.319280821094,1379.7476181857337,8079050
2022-08-30,1402.6719970703125,1405.6315410471384,1377.3516962782269,1384.0223398094854,6725875
2022-09-01,1375.660400390625,1379.3245919805022,1363.3056670710246,1371.761440883615,8140604
2022-09-02,1365.1376953125,1388.6259557273745,1360.4400432295251,1388.6259557273745,5175653
2022-09-05,1372.9359130859375,1378.2911908558788,1358.8898638341602,1363.258703430048,3669352
2022-09-06,1367.11083984375,1381.1098675615524,1358.0443473672385,1372.935997894355,3428442
2022-09-07,1369.506591796875,1377.11676555089,1351.0918178014579,1352.9238563147069,3600574
2022-09-08,1386.6529541015625,1391.5384663546888,1375.0966841910147,1385.8073537953908,4061475
2022-09-09,1420.2413330078125,1428.0863899093604,1390.505169122272,1398.0214132796896,4816910
2022-09-12,1443.306640625,1452.4201548614235,1429.1667760755313,1433.5356156336663,5494819
2022-09-13,1451.527587890625,1459.0908542275229,1448.0983933454936,1458.0573936239716,4947158
2022-09-14,1386.1832275390625,1408.3091004828545,1382.988801120459,1406.4770620090537,14332197
2022-09-15,1346.159423828125,1385.9954275720627,1342.6361842501503,1385.8075673367528,12784100
2022-09-16,1293.780517578125,1338.8309590619242,1285.6065334358466,1338.8309590619242,20464045
2022-09-19,1306.2293701171875,1320.9799538831844,1297.1158549648912,1307.8265261773774,6595241
2022-09-20,1304.5850830078125,1328.0733448120743,1301.3436340655574,1322.8118824168969,7219797
2022-09-21,1293.96826171875,1304.8198838678845,1285.6534404987908,1296.4580402517518,7917054
2022-09-22,1285.230712890625,1300.2632010226898,1277.7614912255183,1283.727487015175,9168498
2022-09-23,1282.8818359375,1310.457147016372,1279.6405016875913,1284.8079192788407,10426200
2022-09-26,1296.787109375,1314.8260510017465,1273.0639617483246,1277.7616147437059,9414587
